stop_id,stop_name,latitude,longitude,route_ids
STOP_501,Silk Board Junction Station,12.9176,77.6238,ROUTE_036|ROUTE_038|ROUTE_110
STOP_502,Electronic City Tech Zone Station,12.8452,77.6602,ROUTE_019|ROUTE_020|ROUTE_060
STOP_503,Outer Ring Road - Bellandur Station,12.926,77.6762,ROUTE_028|ROUTE_030|ROUTE_101
STOP_504,Whitefield ITPL Corridor Station,12.9863,77.7342,ROUTE_035|ROUTE_039|ROUTE_114
STOP_505,Marathahalli Bridge Hub Station,12.9569,77.7011,ROUTE_029|ROUTE_031|ROUTE_108
STOP_506,Indiranagar 100ft Metro Hub Station,12.9784,77.6408,ROUTE_021|ROUTE_022|ROUTE_064
STOP_507,MG Road & Brigade Central Station,12.9756,77.6066,ROUTE_874|ROUTE_879|ROUTE_957
STOP_508,Koramangala Commercial Hub Station,12.9352,77.6245,ROUTE_275|ROUTE_279|ROUTE_648
STOP_509,HSR Layout Sector Zone Station,12.9116,77.6389,ROUTE_025|ROUTE_026|ROUTE_094
STOP_510,BTM Layout Ring Road Station,12.9166,77.6101,ROUTE_033|ROUTE_034|ROUTE_112
STOP_511,Jayanagar 4th Block Hub Station,12.9298,77.5828,ROUTE_005|ROUTE_006|ROUTE_047
STOP_512,JP Nagar Phase Corridor Station,12.9063,77.5855,ROUTE_027|ROUTE_032|ROUTE_100
STOP_513,Banashankari TTMC Hub Station,12.9155,77.5736,ROUTE_017|ROUTE_018|ROUTE_059
STOP_514,Bannerghatta IIM Corridor Station,12.8984,77.5996,ROUTE_786|ROUTE_793|ROUTE_869
STOP_515,Hebbal Flyover Airport Link Station,13.0358,77.597,ROUTE_065|ROUTE_068|ROUTE_229
STOP_516,Yelahanka New Town Hub Station,13.1007,77.5963,ROUTE_003|ROUTE_004|ROUTE_037
STOP_517,Malleshwaram Heritage Zone Station,13.0031,77.5643,ROUTE_023|ROUTE_024|ROUTE_087
STOP_518,Rajajinagar Industrial Hub Station,12.9982,77.553,ROUTE_013|ROUTE_014|ROUTE_055
STOP_519,Yeshwanthpur Metro Hub Station,13.0281,77.5408,ROUTE_011|ROUTE_012|ROUTE_053
STOP_520,KR Puram Railway Junction Station,13.0012,77.6974,ROUTE_009|ROUTE_010|ROUTE_051
STOP_521,Majestic Central Interchange Station,12.9772,77.5713,ROUTE_077|ROUTE_079|ROUTE_268
STOP_522,Sarjapur - Bellandur Tech Corridor Station,12.9102,77.685,ROUTE_671|ROUTE_736|ROUTE_846
STOP_523,Peenya Industrial Area Hub Station,13.0329,77.5273,ROUTE_007|ROUTE_008|ROUTE_049
STOP_524,Domlur & Old Airport Road Station,12.9609,77.6387,ROUTE_001|ROUTE_002|ROUTE_037
STOP_525,Basavanagudi Cultural Zone Station,12.9421,77.5752,ROUTE_044|ROUTE_046|ROUTE_119
STOP_526,Shivajinagar Bus Terminal Station,12.9863,77.6015,ROUTE_1033|ROUTE_1048|ROUTE_1270
STOP_527,Kanakapura Road Metro Corridor Station,12.8988,77.5612,ROUTE_837|ROUTE_849|ROUTE_914
STOP_528,Vidyaranyapura Town Hub Station,13.0784,77.5586,ROUTE_069|ROUTE_071|ROUTE_246
STOP_529,RT Nagar Commercial Sector Station,13.0232,77.5936,ROUTE_074|ROUTE_080|ROUTE_270
STOP_530,Manyata Tech Park Hub Station,13.0489,77.62,ROUTE_814|ROUTE_820|ROUTE_881
STOP_531,Kengeri Satellite Town Hub Station,12.909,77.485,ROUTE_015|ROUTE_016|ROUTE_057
STOP_532,Vijayanagar Metro Hub Station,12.9702,77.537,ROUTE_924|ROUTE_927|ROUTE_1036
STOP_533,Fraser Town Cantonment Hub Station,12.998,77.614,ROUTE_043|ROUTE_045|ROUTE_120
STOP_534,Kadugodi Tech Gateway Station,12.9985,77.76,ROUTE_842|ROUTE_845|ROUTE_894
STOP_535,Kalyan Nagar Ring Road Station,13.028,77.64,ROUTE_041|ROUTE_042|ROUTE_117
STOP_536,Jalahalli Airforce Base Zone Station,13.05,77.54,ROUTE_1023|ROUTE_1091|ROUTE_1230
STOP_537,Gottigere Bannerghatta Sector Station,12.855,77.585,ROUTE_876|ROUTE_878|ROUTE_943
STOP_538,Basaveshwaranagar Sector Station,12.985,77.54,ROUTE_081|ROUTE_082|ROUTE_286
STOP_539,Chamarajpet Heritage Ward Station,12.96,77.57,ROUTE_075|ROUTE_078|ROUTE_276
STOP_540,Bellary Road Expressway Zone Station,13.065,77.592,ROUTE_911|ROUTE_929|ROUTE_1100
